benchmark,init,unfold,normal,bdd,zbdd,esr,abdd,czdd,tbdd,cbdd
C432.iscas.var84,20,70,38,20,36,20,20,21,20,20
C432.iscas.var133,75,219,128,75,125,75,60,75,74,67
C432.iscas.var163,267,692,385,267,380,267,188,268,267,201
C432.iscas.var188,275,862,397,275,389,274,190,277,274,241
C432.iscas.var193,386,1048,544,386,519,357,277,396,386,305
C432.iscas.var194,462,1200,660,462,643,449,333,464,462,353
C432.iscas.var195,524,1334,742,524,729,516,370,522,524,391
C499.iscas.var211,5291,7355,5295,5291,5039,5036,4546,5037,5291,5212
C499.iscas.var212,5547,7611,5551,5547,5295,5292,4746,5293,5547,5404
C499.iscas.var213,5803,7867,5807,5803,5551,5548,4930,5549,5803,5724
C499.iscas.var214,6059,8123,6063,6059,5807,5804,5134,5805,6059,5916
C499.iscas.var215,6315,8379,6319,6315,6063,6060,5442,6061,6315,6236
C499.iscas.var216,6571,8635,6575,6571,6319,6316,5534,6317,6571,6420
C499.iscas.var217,6827,8891,6831,6827,6575,6572,5718,6573,6827,6600
C499.iscas.var218,7083,9147,7087,7083,6831,6828,5977,6829,7083,6972
C499.iscas.var219,7339,9403,7343,7339,7087,7084,6316,7085,7339,7181
C499.iscas.var220,7595,9659,7599,7595,7343,7340,6438,7341,7595,7452
C499.iscas.var221,7851,9915,7855,7851,7599,7596,6713,7597,7851,7647
C499.iscas.var222,8107,10171,8111,8107,7855,7852,7014,7853,8107,7992
C499.iscas.var223,8363,10427,8367,8363,8111,8108,7114,8109,8363,8091
C499.iscas.var224,8363,10427,8367,8363,8111,8108,7228,8109,8363,8109
C499.iscas.var225,8747,10811,8751,8747,8495,8492,7408,8493,8747,8429
C499.iscas.var226,8747,10811,8751,8747,8495,8492,7632,8493,8747,8454
C499.iscas.var227,8939,11003,8943,8939,8687,8684,7811,8685,8939,8660
C499.iscas.var228,9003,11067,9007,9003,8751,8748,8158,8749,9003,8908
C499.iscas.var229,9067,11131,9071,9067,8815,8812,8028,8813,9067,8854
C499.iscas.var230,9131,11195,9135,9131,8879,8876,8261,8877,9131,9036
C499.iscas.var231,9195,11259,9199,9195,8943,8940,8273,8941,9195,9036
C499.iscas.var232,9259,11323,9263,9259,9007,9004,8339,9005,9259,9155
C499.iscas.var233,9323,11387,9327,9323,9071,9068,8352,9069,9323,9146
C499.iscas.var234,9323,11387,9327,9323,9071,9068,8434,9069,9323,9198
C499.iscas.var235,9419,11483,9423,9419,9167,9164,8457,9165,9419,9253
C499.iscas.var236,9451,11515,9455,9451,9199,9196,8573,9197,9451,9325
C499.iscas.var237,9483,11547,9487,9483,9231,9228,8491,9229,9483,9305
C499.iscas.var238,9483,11547,9487,9483,9231,9228,8623,9229,9483,9355
C499.iscas.var239,9419,11483,9423,9419,9167,9164,8425,9165,9419,9253
C499.iscas.var240,9451,11515,9455,9451,9199,9196,8540,9197,9451,9288
C499.iscas.var241,9483,11547,9487,9483,9231,9228,8477,9229,9483,9303
C499.iscas.var242,9483,11547,9487,9483,9231,9228,8508,9229,9483,9289
C880.iscas.var404,274,876,412,274,410,277,263,275,274,261
C880.iscas.var422,560,1813,856,560,852,562,522,562,560,534
C880.iscas.var423,1281,4110,1835,1281,1831,1282,1214,1283,1281,1234
C880.iscas.var424,3563,11386,4911,3563,4907,3564,3243,3565,3563,3372
C880.iscas.var426,10505,17379,14115,10505,14114,10258,9104,10505,10505,8876
C880.iscas.var433,19264,52977,24992,19264,24988,19260,16720,19266,19264,17205
C880.iscas.var440,10233,30660,14131,10233,14127,10210,9163,10235,10233,9476
C880.iscas.var441,14912,44564,20248,14912,20244,14857,13492,14914,14912,13883
C880.iscas.var442,10053,15484,12550,10053,12547,10057,7693,10055,10053,7767
C1355.iscas.var555,8363,10427,8367,8363,8111,8108,7114,8109,8363,8091
C1355.iscas.var556,7339,9403,7343,7339,7087,7084,6316,7085,7339,7181
C1355.iscas.var557,6315,8379,6319,6315,6063,6060,5442,6061,6315,6236
C1355.iscas.var558,5291,7355,5295,5291,5039,5036,4546,5037,5291,5212
C1355.iscas.var559,8363,10427,8367,8363,8111,8108,7228,8109,8363,8109
C1355.iscas.var560,7595,9659,7599,7595,7343,7340,6438,7341,7595,7452
C1355.iscas.var561,6571,8635,6575,6571,6319,6316,5534,6317,6571,6420
C1355.iscas.var562,5547,7611,5551,5547,5295,5292,4746,5293,5547,5404
C1355.iscas.var563,8747,10811,8751,8747,8495,8492,7408,8493,8747,8429
C1355.iscas.var564,7851,9915,7855,7851,7599,7596,6713,7597,7851,7647
C1355.iscas.var565,6827,8891,6831,6827,6575,6572,5718,6573,6827,6600
C1355.iscas.var566,5803,7867,5807,5803,5551,5548,4930,5549,5803,5724
C1355.iscas.var567,8747,10811,8751,8747,8495,8492,7632,8493,8747,8454
C1355.iscas.var568,8107,10171,8111,8107,7855,7852,7014,7853,8107,7992
C1355.iscas.var569,7083,9147,7087,7083,6831,6828,5977,6829,7083,6972
C1355.iscas.var570,6059,8123,6063,6059,5807,5804,5134,5805,6059,5916
C1355.iscas.var571,9419,11483,9423,9419,9167,9164,8425,9165,9419,9253
C1355.iscas.var572,9419,11483,9423,9419,9167,9164,8457,9165,9419,9253
C1355.iscas.var573,9195,11259,9199,9195,8943,8940,8273,8941,9195,9036
C1355.iscas.var574,8939,11003,8943,8939,8687,8684,7811,8685,8939,8660
C1355.iscas.var575,9451,11515,9455,9451,9199,9196,8540,9197,9451,9288
C1355.iscas.var576,9451,11515,9455,9451,9199,9196,8573,9197,9451,9325
C1355.iscas.var577,9259,11323,9263,9259,9007,9004,8339,9005,9259,9155
C1355.iscas.var578,9003,11067,9007,9003,8751,8748,8158,8749,9003,8908
C1355.iscas.var579,9483,11547,9487,9483,9231,9228,8477,9229,9483,9303
C1355.iscas.var580,9483,11547,9487,9483,9231,9228,8491,9229,9483,9305
C1355.iscas.var581,9323,11387,9327,9323,9071,9068,8352,9069,9323,9146
C1355.iscas.var582,9067,11131,9071,9067,8815,8812,8028,8813,9067,8854
C1355.iscas.var583,9483,11547,9487,9483,9231,9228,8508,9229,9483,9289
C1355.iscas.var584,9483,11547,9487,9483,9231,9228,8623,9229,9483,9355
C1355.iscas.var585,9323,11387,9327,9323,9071,9068,8434,9069,9323,9198
C1355.iscas.var586,9131,11195,9135,9131,8879,8876,8261,8877,9131,9036
C1908.iscas.var850,3255,5803,3333,3255,2992,3086,2416,2950,3254,2597
C1908.iscas.var851,3191,5547,3269,3191,2962,3022,2300,2918,3190,2592
C1908.iscas.var852,3191,5675,3301,3191,2987,3051,2437,2905,3190,2626
C1908.iscas.var853,3255,5739,3365,3255,3053,3113,2419,2971,3254,2652
C1908.iscas.var854,3191,5547,3301,3191,3007,3049,2423,2931,3190,2620
C1908.iscas.var855,3191,5547,3301,3191,3008,3046,2410,2934,3190,2620
C1908.iscas.var856,3607,6155,3685,3607,3343,3441,2756,3299,3606,2981
C1908.iscas.var857,3639,6187,3717,3639,3362,3483,2793,3321,3638,3002
C1908.iscas.var858,3543,5897,3623,3543,3302,3387,2707,3257,3542,2966
C1908.iscas.var859,3703,6249,3783,3703,3430,3547,2872,3385,3702,3069
C1908.iscas.var860,3607,5961,3687,3607,3368,3449,2782,3323,3606,3029
C1908.iscas.var861,3607,5961,3687,3607,3369,3448,2766,3324,3606,3034
C1908.iscas.var862,3703,6249,3783,3703,3434,3544,2829,3388,3702,3056
C1908.iscas.var863,3607,5961,3687,3607,3372,3446,2714,3326,3606,3033
C1908.iscas.var864,3607,5961,3687,3607,3373,3445,2708,3327,3606,3022
C1908.iscas.var865,3543,5897,3623,3543,3311,3379,2629,3265,3542,2944
C1908.iscas.var866,4839,6341,5029,4839,5029,4838,3651,4839,4839,4029
C1908.iscas.var899,145,311,182,145,174,142,117,140,145,129
C1908.iscas.var900,179,431,224,179,213,176,142,171,179,161
C1908.iscas.var901,101,268,138,101,128,94,84,95,101,94
C1908.iscas.var908,5731,8131,5877,5731,5873,5732,4312,5732,5731,4748
C1908.iscas.var909,8527,13279,9123,8527,9119,8527,6208,8527,8527,6786
C1908.iscas.var912,149,361,186,149,174,142,123,141,149,128
