benchmark,norm,full,X,L0,L1,L+,H0,H1,H+
uf20-01,51,30,2,37,0,3,0,0,0
uf20-02,57,36,2,41,0,3,2,0,0
uf20-03,22,8,0,11,0,0,0,0,0
uf20-04,25,17,0,19,0,1,1,0,0
uf20-05,21,14,0,18,0,0,0,0,0
uf20-06,20,11,0,14,0,0,0,0,0
uf20-07,60,39,3,47,0,1,0,0,0
uf20-08,37,27,1,33,1,0,1,0,0
uf20-09,22,10,0,13,0,0,1,0,0
uf20-010,61,29,0,32,0,1,0,0,0
uf20-011,75,46,5,58,0,2,0,0,0
uf20-012,110,72,3,82,0,8,0,0,0
uf20-013,35,25,0,29,1,0,0,0,0
uf20-014,33,20,0,21,0,1,3,0,1
uf20-015,62,36,1,43,0,3,1,0,1
uf20-016,45,20,0,30,1,0,1,0,0
uf20-017,43,19,0,29,0,0,0,0,0
uf20-018,22,9,0,12,0,0,0,0,0
uf20-019,21,12,0,12,0,0,0,0,0
uf20-020,50,31,0,41,0,1,1,0,0
uf20-021,35,17,0,22,0,0,1,0,0
uf20-022,38,25,2,30,0,0,1,0,0
uf20-023,58,38,0,46,0,1,1,0,0
uf20-024,40,18,0,25,0,0,0,0,0
uf20-025,22,7,0,9,0,0,0,0,0
uf20-026,21,13,0,16,0,0,0,0,0
uf20-027,43,25,1,29,0,0,0,0,0
uf20-028,24,16,1,20,0,0,0,0,0
uf20-029,22,19,0,19,0,0,0,0,0
uf20-030,70,40,0,59,0,0,0,0,0
uf20-031,22,12,0,14,0,0,1,0,0
uf20-032,22,14,0,18,0,0,0,0,0
uf20-033,27,22,1,20,0,1,3,0,0
uf20-034,89,49,1,64,0,4,0,0,0
uf20-035,37,24,0,29,0,0,0,0,0
uf20-036,47,22,0,32,1,1,1,0,0
uf20-037,22,12,0,16,0,0,0,0,0
uf20-038,96,63,4,74,0,3,3,0,1
uf20-039,32,17,0,22,0,0,0,0,0
uf20-040,25,14,0,16,0,1,1,0,0
uf20-041,22,10,0,12,0,0,0,0,0
uf20-042,20,12,0,14,0,0,0,0,0
uf20-043,21,10,1,15,0,0,0,0,0
uf20-044,30,20,3,24,0,0,0,0,0
uf20-045,49,28,0,38,0,0,0,0,0
uf20-046,109,64,1,81,0,2,0,0,0
uf20-047,19,11,0,15,0,0,1,0,0
uf20-048,22,12,0,14,0,0,0,0,0
uf20-049,21,15,0,16,0,0,1,0,0
uf20-050,22,13,0,16,0,0,0,0,0
uf20-051,31,18,0,21,0,0,0,0,0
uf20-052,45,27,0,36,0,0,0,0,0
uf20-053,21,14,0,17,0,0,1,0,0
uf20-054,33,23,1,25,0,2,0,0,0
uf20-055,47,31,2,36,0,1,0,0,0
uf20-056,62,35,0,46,0,1,3,0,0
uf20-057,56,28,1,35,0,3,0,0,0
uf20-058,44,25,3,32,0,1,0,0,0
uf20-059,22,14,0,16,0,0,0,0,0
uf20-060,29,14,1,16,0,0,0,0,0
uf20-061,22,12,0,18,0,0,0,0,0
uf20-062,72,50,4,55,1,6,1,0,0
uf20-063,64,31,0,38,0,1,0,0,0
uf20-064,44,23,0,29,0,0,0,0,0
uf20-065,29,20,0,24,0,1,0,0,0
uf20-066,56,24,0,36,0,3,0,0,0
uf20-067,93,52,0,69,0,1,0,0,0
uf20-068,37,22,2,31,0,0,0,0,0
uf20-069,21,13,0,16,0,0,0,0,0
uf20-070,97,56,0,66,0,7,3,0,0
uf20-071,67,45,1,58,0,2,0,0,0
uf20-072,23,17,1,19,0,1,0,0,0
uf20-073,21,11,0,13,0,0,0,0,0
uf20-074,22,15,0,18,0,0,0,0,0
uf20-075,45,28,1,36,0,3,0,0,0
uf20-076,22,13,0,17,0,0,0,0,0
uf20-077,40,23,1,28,1,1,0,0,0
uf20-078,24,13,1,19,0,0,0,0,0
uf20-079,141,79,6,98,1,7,1,0,0
uf20-080,61,31,1,38,0,3,0,0,1
uf20-081,21,12,1,14,0,0,1,0,0
uf20-082,50,28,0,34,0,2,0,0,0
uf20-083,48,32,0,41,0,0,0,0,0
uf20-084,19,12,0,14,0,0,0,0,0
uf20-085,21,10,0,14,0,0,0,0,0
uf20-086,58,34,0,44,0,0,1,0,0
uf20-087,52,31,2,40,0,0,0,0,0
uf20-088,80,44,1,54,1,4,1,0,0
uf20-089,30,23,5,25,0,0,0,0,0
uf20-090,71,37,0,47,1,1,2,0,0
uf20-091,22,15,0,17,0,0,0,0,0
uf20-092,20,11,0,14,0,0,1,0,0
uf20-093,39,25,0,29,0,0,0,0,0
uf20-094,21,12,0,17,0,0,1,0,0
uf20-095,37,14,0,18,0,0,0,0,0
uf20-096,22,13,0,17,0,0,1,0,0
uf20-097,37,26,1,30,0,1,1,0,0
uf20-098,35,18,0,24,0,1,0,0,0
uf20-099,55,39,0,45,0,0,1,0,0
uf20-0100,49,19,0,26,0,1,0,0,0
uf20-0101,22,14,0,18,0,0,0,0,0
uf20-0102,27,14,0,17,0,0,0,0,0
uf20-0103,22,11,0,14,0,0,0,0,0
uf20-0104,69,44,2,56,1,6,0,0,1
uf20-0105,22,14,0,18,0,0,0,0,0
uf20-0106,22,13,0,16,0,0,0,0,0
uf20-0107,22,11,0,16,0,0,0,0,0
uf20-0108,37,20,0,25,0,0,2,0,0
uf20-0109,21,14,1,16,0,0,0,0,0
uf20-0110,113,68,3,86,0,4,3,0,0
uf20-0111,58,35,0,40,0,0,3,0,0
uf20-0112,32,15,0,17,0,0,0,0,0
uf20-0113,22,12,0,14,0,0,0,0,0
uf20-0114,64,39,0,45,0,1,0,0,0
uf20-0115,44,31,1,35,0,2,1,0,0
uf20-0116,40,21,0,28,0,0,1,0,0
uf20-0117,21,12,0,13,0,0,0,0,0
uf20-0118,73,48,2,51,0,3,0,0,2
uf20-0119,23,15,1,17,0,1,1,0,0
uf20-0120,52,32,1,41,0,0,1,0,0
uf20-0121,36,21,1,26,0,0,0,0,0
uf20-0122,23,10,0,10,0,0,2,0,0
uf20-0123,21,10,0,11,0,0,0,0,0
uf20-0124,151,90,5,101,1,4,4,0,0
uf20-0125,43,24,0,35,0,1,0,0,0
uf20-0126,49,30,1,35,1,0,0,0,0
uf20-0127,61,41,4,52,0,2,0,0,0
uf20-0128,37,19,0,26,0,0,0,0,0
uf20-0129,46,25,3,30,0,1,0,0,1
uf20-0130,30,23,1,27,0,1,0,0,0
uf20-0131,238,143,1,195,0,15,2,0,1
uf20-0132,22,10,0,11,0,0,0,0,0
uf20-0133,43,23,0,33,0,0,0,0,0
uf20-0134,72,38,0,53,1,2,1,0,0
uf20-0135,21,11,0,12,0,0,0,0,0
uf20-0136,34,15,0,23,0,0,0,0,0
uf20-0137,135,103,8,120,0,6,1,0,1
uf20-0138,23,14,0,17,0,0,0,0,0
uf20-0139,68,50,2,55,0,4,3,0,0
uf20-0140,53,26,0,36,0,1,1,0,0
uf20-0141,22,13,0,18,0,0,0,0,0
uf20-0142,91,42,2,57,1,3,1,0,0
uf20-0143,94,55,4,56,0,5,3,0,0
uf20-0144,87,62,5,73,1,2,1,0,0
uf20-0145,23,16,1,16,0,0,1,0,0
uf20-0146,41,23,1,28,0,1,0,0,0
uf20-0147,21,11,0,16,0,0,1,0,0
uf20-0148,38,21,0,30,0,0,0,0,0
uf20-0149,40,29,5,31,0,0,0,0,0
uf20-0150,53,36,0,41,0,0,2,0,0
uf20-0151,49,20,1,31,0,0,2,0,0
uf20-0152,64,42,3,50,0,0,1,0,0
uf20-0153,125,73,7,84,1,11,1,0,1
uf20-0154,22,9,0,11,0,0,1,0,0
uf20-0155,70,39,2,50,1,1,0,0,0
uf20-0156,67,43,1,54,1,1,0,0,0
uf20-0157,23,16,3,17,0,0,1,0,0
uf20-0158,81,47,1,60,0,3,3,0,1
uf20-0159,31,19,0,23,0,0,0,0,0
uf20-0160,35,16,0,24,0,0,0,0,0
uf20-0161,30,19,1,24,0,1,1,0,0
uf20-0162,95,50,2,63,0,5,2,0,0
uf20-0163,58,30,2,40,3,0,0,0,0
uf20-0164,146,93,1,126,2,6,3,0,1
uf20-0165,74,42,0,57,0,1,0,0,0
uf20-0166,20,11,1,14,0,0,0,0,0
uf20-0167,21,13,0,14,0,0,1,0,0
uf20-0168,51,28,0,33,0,1,1,0,0
uf20-0169,48,29,0,40,0,0,1,0,0
uf20-0170,27,16,0,19,0,0,0,0,0
uf20-0171,62,32,2,47,0,1,0,0,0
uf20-0172,22,14,0,16,0,0,0,0,0
uf20-0173,47,31,0,39,0,0,1,0,0
uf20-0174,30,17,1,21,0,1,0,0,0
uf20-0175,32,18,0,24,0,0,3,0,0
uf20-0176,22,16,0,19,0,0,0,0,0
uf20-0177,25,15,1,18,0,0,0,0,0
uf20-0178,19,14,1,16,0,0,0,0,0
uf20-0179,29,18,2,18,0,0,0,0,0
uf20-0180,21,12,0,15,0,0,0,0,0
uf20-0181,53,31,0,35,0,0,0,0,0
uf20-0182,40,23,1,27,0,0,0,0,1
uf20-0183,37,24,0,30,0,0,0,0,0
uf20-0184,44,25,2,31,0,0,1,0,0
uf20-0185,22,11,0,12,0,0,0,0,0
uf20-0186,49,22,0,32,0,0,1,0,0
uf20-0187,74,54,4,63,0,4,0,0,0
uf20-0188,45,27,0,34,0,1,1,0,0
uf20-0189,55,35,0,43,0,0,1,0,0
uf20-0190,102,48,3,76,0,2,0,0,0
uf20-0191,21,11,1,13,0,0,0,0,0
uf20-0192,21,15,1,16,0,0,0,0,0
uf20-0193,21,13,0,16,0,0,0,0,0
uf20-0194,64,47,1,57,0,2,0,0,0
uf20-0195,76,38,4,51,0,2,0,0,0
uf20-0196,49,27,0,33,0,0,0,0,0
uf20-0197,22,11,0,16,0,0,0,0,0
uf20-0198,23,15,0,16,0,0,2,0,0
uf20-0199,19,12,0,16,0,0,0,0,0
uf20-0200,48,29,0,38,0,4,2,0,0
uf20-0201,21,14,1,15,0,0,1,0,0
uf20-0202,36,22,0,31,0,1,0,0,0
uf20-0203,21,14,1,16,0,0,0,0,0
uf20-0204,36,21,1,22,0,0,1,0,0
uf20-0205,42,23,1,25,0,1,1,0,0
uf20-0206,63,26,1,37,1,0,1,0,0
uf20-0207,21,14,0,16,0,0,0,0,0
uf20-0208,66,40,4,47,0,6,0,0,1
uf20-0209,21,13,0,14,0,0,0,0,0
uf20-0210,150,100,8,100,0,10,3,0,0
uf20-0211,44,25,3,32,0,1,0,0,0
uf20-0212,76,50,2,68,0,4,1,0,0
uf20-0213,32,22,1,26,0,0,1,0,0
uf20-0214,22,9,0,13,0,0,0,0,0
uf20-0215,104,68,2,80,1,2,1,0,0
uf20-0216,20,10,0,12,0,0,0,0,0
uf20-0217,60,28,0,36,0,2,0,0,0
uf20-0218,76,43,0,50,1,4,3,0,2
uf20-0219,22,14,0,17,0,0,1,0,0
uf20-0220,37,27,0,35,0,0,1,0,0
uf20-0221,26,13,0,14,0,1,0,0,0
uf20-0222,38,16,1,21,0,0,0,0,0
uf20-0223,29,16,0,19,0,1,0,0,0
uf20-0224,21,15,0,19,0,0,0,0,0
uf20-0225,34,29,1,30,0,0,0,0,0
uf20-0226,102,60,3,76,0,3,3,0,1
uf20-0227,61,33,0,45,0,0,0,0,0
uf20-0228,36,17,0,22,0,1,1,0,0
uf20-0229,77,39,2,50,0,1,0,0,0
uf20-0230,105,67,2,81,0,2,1,0,0
uf20-0231,22,11,0,16,0,0,0,0,0
uf20-0232,21,12,0,15,0,0,0,0,0
uf20-0233,40,21,0,25,0,2,3,0,0
uf20-0234,28,15,0,20,0,0,0,0,0
uf20-0235,40,18,0,23,0,1,0,0,0
uf20-0236,21,10,0,14,0,0,0,0,0
uf20-0237,67,41,2,54,1,1,1,0,0
uf20-0238,20,14,1,14,0,0,1,0,0
uf20-0239,48,27,1,38,0,1,1,0,0
uf20-0240,29,17,2,21,0,0,0,0,0
uf20-0241,52,34,0,46,0,3,0,0,0
uf20-0242,69,39,0,42,0,1,2,0,1
uf20-0243,41,25,0,27,0,4,0,0,0
uf20-0244,35,17,0,21,0,1,1,0,0
uf20-0245,21,18,0,18,0,0,0,0,0
uf20-0246,40,34,5,40,0,0,0,0,0
uf20-0247,22,10,0,14,0,0,0,0,0
uf20-0248,22,10,0,14,0,0,0,0,0
uf20-0249,39,19,0,25,0,1,0,0,0
uf20-0250,66,34,0,49,0,1,0,0,0
uf20-0251,35,14,0,17,0,0,0,0,0
uf20-0252,49,31,2,36,1,0,1,0,0
uf20-0253,25,12,0,15,0,1,0,0,0
uf20-0254,78,38,0,48,2,1,1,0,0
uf20-0255,24,17,0,16,0,0,0,0,0
uf20-0256,88,56,1,72,1,3,1,0,0
uf20-0257,19,16,0,16,0,0,2,0,0
uf20-0258,74,49,1,62,1,1,1,0,0
uf20-0259,39,18,0,26,0,1,1,0,0
uf20-0260,22,16,0,19,0,0,1,0,0
uf20-0261,27,16,1,20,0,0,0,0,0
uf20-0262,30,19,0,25,0,0,0,0,0
uf20-0263,40,23,1,30,0,0,1,0,0
uf20-0264,32,14,0,18,0,1,0,0,0
uf20-0265,69,29,1,44,0,1,0,0,0
uf20-0266,36,20,0,26,0,0,0,0,0
uf20-0267,53,26,0,39,0,1,1,0,0
uf20-0268,95,49,2,54,0,3,3,0,1
uf20-0269,100,54,3,68,0,2,1,0,0
uf20-0270,22,9,0,12,0,0,0,0,0
uf20-0271,115,69,2,89,1,3,2,0,0
uf20-0272,49,32,2,38,0,3,0,0,0
uf20-0273,91,46,1,67,0,3,0,0,0
uf20-0274,46,23,1,31,0,0,0,0,0
uf20-0275,287,160,8,202,1,14,3,0,3
uf20-0276,77,42,1,59,0,0,2,0,0
uf20-0277,36,26,2,25,0,0,0,0,0
uf20-0278,21,18,0,17,0,0,1,0,0
uf20-0279,26,14,0,18,0,0,0,0,0
uf20-0280,55,25,0,36,0,0,0,0,0
uf20-0281,97,57,0,67,1,2,3,0,0
uf20-0282,21,14,0,15,0,0,3,0,0
uf20-0283,108,50,1,66,1,2,0,0,0
uf20-0284,44,28,1,33,0,0,0,0,0
uf20-0285,32,21,0,25,0,0,0,0,0
uf20-0286,21,11,1,13,0,0,0,0,0
uf20-0287,21,12,1,16,0,0,0,0,0
uf20-0288,31,18,0,24,1,0,1,0,0
uf20-0289,31,16,0,21,0,0,1,0,0
uf20-0290,22,13,0,15,0,0,0,0,0
uf20-0291,54,22,0,35,0,1,0,0,0
uf20-0292,38,18,1,20,0,0,2,0,0
uf20-0293,60,34,0,44,0,1,0,0,1
uf20-0294,20,12,0,14,0,0,0,0,0
uf20-0295,21,13,0,17,0,0,0,0,0
uf20-0296,77,42,1,51,0,1,1,0,0
uf20-0297,42,31,1,35,0,0,3,0,0
uf20-0298,36,20,0,26,0,0,0,0,0
uf20-0299,48,35,0,43,1,0,0,0,0
uf20-0300,33,22,0,27,0,0,0,0,0
uf20-0301,22,14,0,18,0,0,0,0,0
uf20-0302,50,28,0,36,0,1,2,0,0
uf20-0303,23,14,0,16,0,1,0,0,0
uf20-0304,35,21,0,26,0,0,1,0,0
uf20-0305,49,30,1,35,2,1,1,0,0
uf20-0306,37,28,2,31,1,0,1,0,0
uf20-0307,64,41,5,53,0,2,0,0,0
uf20-0308,33,18,0,21,1,0,1,0,0
uf20-0309,150,83,6,117,1,9,1,0,0
uf20-0310,24,13,1,16,0,0,1,0,0
uf20-0311,65,25,1,34,0,0,0,0,0
uf20-0312,22,14,0,16,0,0,1,0,0
uf20-0313,39,20,0,28,0,0,0,0,0
uf20-0314,64,35,4,43,1,1,0,0,0
uf20-0315,30,20,1,24,0,1,0,0,0
uf20-0316,34,22,1,27,0,0,0,0,0
uf20-0317,38,26,0,33,0,0,1,0,0
uf20-0318,49,26,0,36,0,1,0,0,0
uf20-0319,60,29,0,39,0,1,1,0,0
uf20-0320,27,19,0,22,0,0,0,0,0
uf20-0321,35,19,0,24,0,0,1,0,0
uf20-0322,22,10,0,14,0,0,1,0,0
uf20-0323,57,27,0,39,0,0,3,0,0
uf20-0324,38,22,0,31,0,0,2,0,0
uf20-0325,58,21,0,32,0,0,0,0,0
uf20-0326,47,33,0,43,0,0,0,0,0
uf20-0327,89,42,4,59,0,1,1,0,0
uf20-0328,22,15,0,17,0,0,1,0,0
uf20-0329,26,16,1,21,0,0,0,0,0
uf20-0330,21,15,0,17,0,0,1,0,0
uf20-0331,38,25,0,32,0,1,2,0,0
uf20-0332,24,17,1,18,0,1,1,0,0
uf20-0333,22,12,0,15,0,0,0,0,0
uf20-0334,38,27,0,32,0,2,0,0,0
uf20-0335,58,31,1,38,0,1,1,0,0
uf20-0336,22,16,0,18,0,0,0,0,0
uf20-0337,32,19,0,24,0,0,0,0,0
uf20-0338,41,19,0,26,0,1,1,0,0
uf20-0339,54,27,1,39,0,2,0,0,0
uf20-0340,55,37,3,43,0,3,0,0,0
uf20-0341,158,84,0,117,0,2,0,0,0
uf20-0342,20,15,1,16,0,0,0,0,0
uf20-0343,21,12,0,16,0,0,0,0,0
uf20-0344,34,18,0,20,0,0,0,0,0
uf20-0345,39,22,0,29,0,0,0,0,0
uf20-0346,53,36,0,45,1,0,1,0,0
uf20-0347,35,21,2,24,0,0,0,0,0
uf20-0348,21,8,0,11,0,0,0,0,0
uf20-0349,57,29,2,35,1,1,0,0,0
uf20-0350,36,26,1,28,0,1,1,0,0
uf20-0351,22,12,0,16,0,0,0,0,0
uf20-0352,39,20,0,27,1,0,0,0,0
uf20-0353,53,29,0,41,0,0,0,0,0
uf20-0354,34,19,1,24,0,0,1,0,0
uf20-0355,29,15,0,18,0,0,0,0,0
uf20-0356,35,23,0,27,0,0,1,0,0
uf20-0357,21,13,0,16,0,0,0,0,0
uf20-0358,67,37,3,53,0,2,1,0,0
uf20-0359,101,66,0,86,0,2,3,0,1
uf20-0360,150,92,2,126,0,3,1,0,1
uf20-0361,34,24,0,31,0,0,0,0,0
uf20-0362,55,41,1,42,0,3,0,0,0
uf20-0363,52,22,0,30,0,2,1,0,0
uf20-0364,20,13,0,17,0,0,2,0,0
uf20-0365,68,39,0,45,0,0,0,0,0
uf20-0366,21,15,0,16,0,0,2,0,0
uf20-0367,20,15,1,16,0,0,1,0,0
uf20-0368,38,19,0,26,0,2,1,0,0
uf20-0369,24,15,0,19,0,0,0,0,0
uf20-0370,30,22,2,25,0,0,1,0,0
uf20-0371,33,20,1,24,0,0,0,0,0
uf20-0372,68,34,1,50,0,1,0,0,1
uf20-0373,69,39,0,46,1,1,1,0,0
uf20-0374,21,13,1,15,0,0,0,0,0
uf20-0375,105,64,2,83,0,4,0,0,0
uf20-0376,27,14,0,16,0,0,0,0,0
uf20-0377,78,39,0,55,0,0,0,0,0
uf20-0378,27,16,0,20,0,1,0,0,1
uf20-0379,21,12,0,18,0,0,0,0,0
uf20-0380,54,43,4,49,0,2,1,0,0
uf20-0381,42,21,1,28,0,0,0,0,0
uf20-0382,58,39,3,47,0,4,0,0,0
uf20-0383,25,17,0,20,0,0,0,0,0
uf20-0384,40,26,0,34,0,1,2,0,0
uf20-0385,20,13,1,16,0,0,0,0,0
uf20-0386,21,10,0,14,0,0,0,0,0
uf20-0387,98,60,1,76,1,3,0,0,0
uf20-0388,24,16,1,16,0,0,3,0,1
uf20-0389,34,24,0,28,0,0,1,0,0
uf20-0390,56,34,0,40,0,0,3,0,0
uf20-0391,63,34,1,47,0,1,0,0,0
uf20-0392,38,22,1,28,0,0,0,0,0
uf20-0393,57,26,1,35,0,0,1,0,0
uf20-0394,39,24,0,30,0,1,0,0,0
uf20-0395,209,105,2,140,1,1,0,0,0
uf20-0396,34,25,0,30,0,1,1,0,0
uf20-0397,26,20,0,21,0,0,0,0,0
uf20-0398,26,13,0,18,0,1,0,0,0
uf20-0399,39,19,1,28,1,0,1,0,0
uf20-0400,24,13,0,15,0,0,0,0,0
uf20-0401,126,69,2,73,1,7,0,0,3
uf20-0402,22,18,0,19,0,0,0,0,0
uf20-0403,94,54,3,59,0,4,0,0,0
uf20-0404,36,26,2,29,0,1,0,0,0
uf20-0405,78,45,2,56,0,5,3,0,0
uf20-0406,20,15,2,18,0,0,0,0,0
uf20-0407,28,20,0,25,0,0,0,0,0
uf20-0408,30,18,2,25,0,0,0,0,0
uf20-0409,38,21,0,28,0,1,0,0,0
uf20-0410,28,17,0,23,0,0,0,0,0
uf20-0411,21,12,0,14,0,0,1,0,0
uf20-0412,50,29,4,36,0,3,0,0,1
uf20-0413,35,19,0,21,0,1,0,0,0
uf20-0414,21,14,0,17,0,0,0,0,0
uf20-0415,34,20,1,25,0,0,0,0,0
uf20-0416,51,34,4,40,0,0,0,0,0
uf20-0417,76,37,0,47,0,0,2,0,0
uf20-0418,38,16,0,19,0,0,3,0,0
uf20-0419,22,13,0,17,0,0,0,0,0
uf20-0420,21,14,0,16,0,0,1,0,0
uf20-0421,58,31,0,37,0,2,0,0,0
uf20-0422,46,18,0,27,0,0,0,0,0
uf20-0423,20,11,0,13,0,0,1,0,0
uf20-0424,27,21,1,22,0,0,1,0,0
uf20-0425,21,13,1,15,0,0,0,0,0
uf20-0426,57,28,1,34,0,0,0,0,0
uf20-0427,81,53,0,70,0,2,0,0,1
uf20-0428,39,19,1,26,0,0,0,0,0
uf20-0429,62,28,1,39,1,1,0,0,0
uf20-0430,64,47,4,55,0,2,0,0,1
uf20-0431,71,44,0,54,0,2,0,0,0
uf20-0432,32,14,1,16,0,0,1,0,0
uf20-0433,71,39,0,48,0,2,1,0,0
uf20-0434,76,41,1,64,0,0,1,0,0
uf20-0435,24,17,0,18,0,1,0,0,0
uf20-0436,108,69,1,99,0,2,1,0,0
uf20-0437,21,9,1,10,0,0,0,0,0
uf20-0438,23,14,1,17,0,1,1,0,0
uf20-0439,75,35,0,53,0,1,0,0,0
uf20-0440,44,31,2,39,0,1,0,0,0
uf20-0441,160,95,7,105,1,6,3,0,0
uf20-0442,24,17,0,20,0,1,0,0,0
uf20-0443,59,37,1,49,0,3,0,0,0
uf20-0444,35,23,0,29,0,1,0,0,0
uf20-0445,102,71,1,90,0,6,1,0,0
uf20-0446,97,62,2,71,0,6,3,0,2
uf20-0447,39,21,0,27,0,0,1,0,0
uf20-0448,35,19,2,23,0,0,0,0,0
uf20-0449,22,13,0,15,0,0,1,0,0
uf20-0450,70,39,4,48,0,1,1,0,0
uf20-0451,58,41,2,47,0,2,0,0,2
uf20-0452,33,24,0,26,0,0,3,0,0
uf20-0453,32,20,0,25,0,1,0,0,0
uf20-0454,41,21,0,31,1,1,1,0,0
uf20-0455,25,14,0,15,0,0,0,0,0
uf20-0456,39,20,1,24,1,0,0,0,0
uf20-0457,38,18,0,26,1,1,1,0,0
uf20-0458,22,11,0,13,0,0,0,0,0
uf20-0459,46,30,1,32,0,0,0,0,0
uf20-0460,56,29,0,37,0,0,1,0,0
uf20-0461,22,10,0,12,0,0,0,0,0
uf20-0462,21,11,0,13,0,0,0,0,0
uf20-0463,20,10,0,13,0,0,0,0,0
uf20-0464,22,18,0,19,0,0,0,0,0
uf20-0465,22,15,0,17,0,0,0,0,0
uf20-0466,21,13,0,16,0,0,1,0,0
uf20-0467,71,39,1,54,0,0,0,0,0
uf20-0468,20,13,2,14,0,0,0,0,0
uf20-0469,42,24,0,32,0,1,0,0,0
uf20-0470,82,48,0,65,1,1,0,0,0
uf20-0471,52,38,3,42,0,3,3,0,0
uf20-0472,39,15,0,24,0,0,0,0,0
uf20-0473,66,34,4,42,0,4,3,0,0
uf20-0474,22,14,0,16,0,0,0,0,0
uf20-0475,21,13,1,18,0,0,0,0,0
uf20-0476,21,14,0,17,0,0,0,0,0
uf20-0477,22,10,0,11,0,0,1,0,0
uf20-0478,31,17,0,22,0,2,0,0,0
uf20-0479,20,11,1,12,0,0,0,0,0
uf20-0480,58,28,0,32,0,1,3,0,0
uf20-0481,31,22,1,26,0,0,0,0,0
uf20-0482,28,21,3,25,0,0,0,0,0
uf20-0483,127,71,1,100,0,4,0,0,1
uf20-0484,40,25,0,30,1,0,1,0,0
uf20-0485,84,52,5,66,0,6,0,0,0
uf20-0486,51,30,0,41,0,1,0,0,0
uf20-0487,47,27,1,38,0,2,0,0,0
uf20-0488,36,20,0,26,0,0,0,0,0
uf20-0489,36,19,1,28,0,0,0,0,0
uf20-0490,22,10,0,13,0,0,0,0,0
uf20-0491,54,27,0,39,0,1,1,0,0
uf20-0492,65,36,0,45,0,0,0,0,0
uf20-0493,22,11,0,13,0,0,0,0,0
uf20-0494,86,47,0,67,0,1,0,0,0
uf20-0495,24,13,0,18,0,0,1,0,0
uf20-0496,44,24,1,33,0,0,1,0,0
uf20-0497,61,40,1,54,0,1,1,0,0
uf20-0498,38,20,0,28,0,0,1,0,0
uf20-0499,66,27,0,34,0,0,0,0,1
uf20-0500,36,18,0,27,0,0,1,0,0
